District Number|Iteration Number|Story Number|Story Description

6|1|1|FitForLife
6|1|2|Agile Terminologies
6|1|3|HTML Course in Fresco Play
6|2|1|FitForLife
6|2|2|CSS Course in Fresco Play
6|3|1|FitForLife
6|3|2|Java Script Course in Fresco Play
6|3|3|Prototype Design Using the Courses we learnt(html,css,javascript)
6|4|1|FitForLife
6|4|2|Prototype UI Enhancement
6|4|3|Prototype Functionality Enhancement
6|5|1|FitForLife
6|5|2|Prototype Enhancement
6|6|1|FitForLife
6|6|2|Agile 360 Chart Prepration
6|6|3|Prototype Demo

5|1|1|Collect Zone POC's List
5|1|2|DevOps Culture in FrescoPlay
5|1|3|Agile quiz
5|1|4|Agile E0 Course in iEvolve
5|2|1|Project POC's List
5|2|2|Machine Learning FrescoPlay
5|2|3|US Banking FTC Certification
5|2|4|HTML5 FrescoPlay
5|2|5|HTML Page creation
5|3|1|US Banking FTC Certification
5|3|2|Automating DB(Squirrel)Application
5|3|3|Spike-Rexx Tool to generate Display statements
5|3|4|Automation using SAS tool for data setup
5|3|5|General Banking FTC Certification
5|4|1|Automating DB(Squirrel)Application -Enhancement
5|4|2|Create Poster for Project POC's list
5|4|3|Implementation of Rexx Tool to generate Display statements
5|4|4|Extract files generation using JCL 
5|4|5|US Banking FTC Certification
5|4|6|General Banking FTC Certification


9|1|1|Digital Course Learning in Fresco Play
9|1|2|FitForLife
9|1|3|Agile E0 Course in iEvolve
9|2|1|Digital Course Learning in Fresco Play
9|2|2|Fit4Life activity
9|2|3|Ideathon for japanese insurance
9|3|1|Logs Outage
9|3|2|Restfulwebservices demo
9|3|3|E-Poster for Dev and QA collaboration
9|3|4|NOdeJS Certification and Demo
9|3|5|Digital Course in Fresco Play
9|4|1|Restful web services proto type -mail service
9|4|2|Fit4Life activity
9|4|3|Digital Course in Fresco Play
9|4|4|Logs Outage document
9|5|1|Digital Course Learning in Fresco Play
9|5|2|FitForLife
9|5|3|Designing UI using Html5 and css3
9|5|4|Automated mail service using Restful web services
9|5|5|Prototype using ECMA6 scripts
